seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae
1d03ca8f-2f48-4d38-bd39-3bd44fa1b046	1.000	0.300	0.105	0.487	0.620
74abab53-2b59-49d9-bbb6-b5d0d7913d08	0.793	0.487	0.330	0.960	0.900
112e80f0-cd20-495d-a7aa-2e38c7d39095	0.913	0.240	0.605	1.000	0.813
ff60551d-1d36-41a6-aaf9-fb6b27968973	0.433	0.813	0.385	0.900	0.987
c2ea0fcd-0f22-4389-af0f-0e5258ea6482	0.760	0.253	0.675	0.900	0.827
6f7c823b-82fe-4319-ab74-d50192a726a1	0.940	0.800	0.505	0.953	0.367
ea0d2b0f-ea31-40ac-a10a-0f606f71b1e1	0.693	0.420	0.385	0.653	0.893
d807567e-c93f-41f6-820e-95ad368572a6	0.533	0.673	0.195	0.940	0.860
60628d65-b06b-4524-bb20-795bc57248b5	0.860	0.733	0.235	0.980	0.713
67aac344-0d5b-44c9-a1e0-99b8540f15cf	0.933	0.627	0.220	1.000	0.900
6fed95ad-89de-413e-b6ff-151f5b0395fc	1.000	0.480	0.230	0.967	0.580
bd3ebbc6-b867-4891-9d3e-6059debd35e7	0.600	0.667	0.590	0.960	0.873
189ba0cf-2771-4cb0-9b0d-bb6c40dbbaf1	0.893	0.820	0.310	1.000	0.787
b85c60c8-89e3-44ac-af02-87832c0ec832	0.453	0.133	0.860	0.087	0.380
edbe9823-ce6e-4a94-9d3f-de43b09648f5	0.993	0.320	0.720	1.000	0.813
04030238-22fd-429c-b148-ab7404af8d7c	0.780	0.240	0.320	0.967	0.907
7289387d-410d-40b1-8a5f-edf3c45990e5	0.393	0.593	0.270	0.933	0.900
6da40849-727c-4b8e-b732-4a6f46c4ae64	0.373	0.360	0.400	0.880	0.867
34a88da2-a28c-44fb-b81c-2ac70a6f8b31	0.853	0.553	0.555	0.987	0.933
cf6b6d69-964f-4b1d-b62e-7b5494375dd4	0.533	0.640	0.790	0.947	1.000
8ededad9-e089-46c5-abf6-f0248e6780b1	0.987	0.667	0.485	0.913	0.813
70b00617-a964-416a-951d-8af07a9c5210	0.753	0.140	0.330	0.987	0.813
881eee27-e9c7-433e-9957-94163d204f0d	0.787	0.480	0.585	0.933	0.580
a5327ba6-224e-47da-aacc-dd31bcac57de	0.840	0.720	0.720	0.807	0.987
61810072-39d7-4d34-9ad6-33e09557abcf	0.973	0.787	0.300	0.987	0.427
a4fd541c-d596-431c-8b3a-836e2ef452e2	0.533	0.460	0.595	0.967	0.927
4bd57b86-f12f-4e55-ae7a-b52f4a399d4b	0.853	0.447	0.390	0.987	0.667
dd3610cf-58ba-4703-86db-0cdf5bb7e629	0.987	0.200	0.185	0.953	0.787
8304a97e-dacc-4408-8046-0754bb6b91c0	0.687	0.507	0.295	0.827	0.227
5a956bf3-8b3f-4553-b75b-6648d21f1919	0.407	0.240	0.640	0.987	0.780
9f463268-7803-4e8b-ae65-5bdc5d7b4419	0.580	0.427	0.195	0.947	0.700
719a919a-b1b3-46ba-9843-3b11f94ec197	0.960	0.440	0.150	0.800	0.600
e8d6c8f2-d231-4660-87b3-c954ad5df152	0.647	0.940	0.275	0.960	0.993
81d87fd5-3d4a-4598-8bdb-b18f77542bf2	1.000	0.227	0.220	0.973	0.667
dc4084fc-4a02-428c-868a-e8c07af23a68	0.433	0.407	0.505	0.887	0.467
c80508cc-58ef-4763-853d-a7a6a13a9188	0.840	0.527	0.400	1.000	0.827
b6147c43-ccf5-403b-9302-078ebe431a83	0.947	0.620	0.380	0.947	0.913
d7ccd769-e230-43ca-a189-2ab7ed6264df	0.467	0.060	0.965	0.407	0.547
494410de-ae3c-43bf-901f-6495b8cfaf19	0.920	0.653	0.225	0.973	0.413
2d8f9359-4973-4012-a407-87094ef3cfc1	0.760	0.927	0.185	0.960	0.687
f745e721-dd23-477e-b6a7-8970b76779d5	0.947	1.000	0.065	0.813	0.947
bd2c4b24-fb85-40cf-b3f6-30d6fb49427d	0.633	0.380	0.235	0.560	0.780
ff124395-9a30-45ef-9ad2-0a2b7343fa9d	0.967	0.487	0.260	0.840	0.873
f3952479-8f61-4fa3-b203-ff26e95e0025	0.853	0.147	0.425	1.000	0.633
3c773554-c686-45d3-bdb3-cec44d99ae82	0.773	0.387	0.380	0.933	0.820
70ef4b39-e919-462a-97e6-c861f434a713	0.973	0.353	0.505	0.847	0.780
