436b2938-1721-4270-95fa-c5e97758c7d8_0017	NC_014760.1_0237	86.7	45	6	0	3	47	389	433	5.2e-18	81.3
436b2938-1721-4270-95fa-c5e97758c7d8_0018	NC_014760.1_0237	79.3	82	14	3	1	80	443	523	8.4e-26	107.8
436b2938-1721-4270-95fa-c5e97758c7d8_0019	NC_014760.1_0238	100.0	46	0	0	12	57	57	102	4.9e-23	98.2
436b2938-1721-4270-95fa-c5e97758c7d8_0020	NC_014760.1_0239	100.0	34	0	0	1	34	1	34	9.2e-15	70.1
436b2938-1721-4270-95fa-c5e97758c7d8_0021	NC_014760.1_0239	100.0	30	0	0	1	30	79	108	1.7e-12	62.4
436b2938-1721-4270-95fa-c5e97758c7d8_0022	NC_014760.1_0241	74.1	27	6	1	1	26	53	79	4.0e-06	40.8
9e795a28-2f80-430f-b66f-59ec2f588b39_0001	NC_014760.1_0235	80.6	175	34	0	1	175	1	175	1.2e-61	228.0
9e795a28-2f80-430f-b66f-59ec2f588b39_0002	NC_014760.1_0589	73.1	52	9	2	7	55	150	199	3.1e-12	62.4
9e795a28-2f80-430f-b66f-59ec2f588b39_0003	NC_014760.1_0591	100.0	37	0	0	1	37	1	37	1.3e-15	73.2
9e795a28-2f80-430f-b66f-59ec2f588b39_0004	NC_014760.1_0595	94.3	35	1	1	1	35	394	427	1.8e-13	65.9
9e795a28-2f80-430f-b66f-59ec2f588b39_0005	NC_014760.1_0595	90.0	50	5	0	1	50	245	294	2.8e-22	95.5
9e795a28-2f80-430f-b66f-59ec2f588b39_0006	NC_014760.1_0134	100.0	42	0	0	1	42	1	42	3.5e-19	85.1
9e795a28-2f80-430f-b66f-59ec2f588b39_0007	NC_014760.1_0597	76.4	106	25	0	2	107	117	222	5.2e-41	159.1
9e795a28-2f80-430f-b66f-59ec2f588b39_0008	NC_014760.1_0597	88.9	27	2	1	1	26	234	260	4.2e-08	47.4
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0001	NC_014760.1_0759	82.9	35	6	0	1	35	165	199	1.5e-11	60.1
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0003	NC_014760.1_0763	77.3	97	19	3	1	94	81	177	1.3e-30	124.0
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0005	NC_014760.1_0768	68.2	107	31	3	6	110	369	474	6.5e-29	118.6
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0006	NC_014760.1_0770	70.3	37	11	0	5	41	487	523	2.1e-09	52.4
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0007	NC_014760.1_0770	97.8	93	2	0	4	96	71	163	1.4e-43	167.2
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0008	NC_014760.1_0772	68.5	92	23	4	1	86	83	174	4.1e-24	102.4
b9dcd5a1-896e-4988-b66b-bc821a1f3e48_0009	NC_014760.1_0773	100.0	38	0	0	3	40	64	101	1.4e-15	72.8
