seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae
2bb93942-a03d-4f74-9ae1-526b549a41b8	0.973	0.947	0.130	0.953	0.913
c2e58483-e867-48d5-b5af-90afc53196bd	0.993	0.460	0.250	0.827	0.747
3da17466-b215-4ee9-a7f0-15db29d898fa	0.893	0.433	0.235	0.953	0.673
0bd3c519-741a-49e6-ae11-5ded18e6d92a	0.047	0.053	0.510	0.147	0.187
0ca7879f-9f8b-4e68-85df-40b98126cdaa	0.047	0.313	0.580	0.120	0.313
4ed313cd-a64b-4af3-83e9-0e9172c62ad7	0.653	0.660	0.595	0.633	0.767
17124f68-8ee0-4056-bb8e-33731018e18a	0.953	0.573	0.090	0.853	0.280
ef6e1e87-c288-4f60-b21d-356ba0e9bac4	0.833	0.593	0.280	0.493	0.260
bec44595-184d-420e-8485-764d197fe40a	0.940	0.653	0.250	0.993	0.673
0946bec1-3989-4daf-9eee-088b88903929	0.907	0.747	0.450	0.980	0.987
38c34e23-b62c-434b-a25a-a0b1bdda1a7a	0.747	0.447	0.115	0.893	0.187
227a0249-db24-4852-a06b-0635cc9e7e19	0.980	0.387	0.315	0.927	0.640
bf2d2916-ca83-4969-b999-729520582fc2	0.120	0.233	0.535	0.587	0.680
7ebe50bd-9ab9-4833-8215-8ad4dbcf46c7	0.940	0.207	0.335	0.907	0.640
3c4c2e19-f913-4684-a013-94c150cad80f	0.800	0.227	0.565	0.947	0.660
ed31e1e3-e561-4afe-b5cd-9180b9d76752	0.960	0.713	0.320	0.987	0.700
6f7c823b-82fe-4319-ab74-d50192a726a1	0.247	0.180	0.705	0.340	0.040
c5705165-d0f6-4fdd-8df0-89afc454323e	0.373	0.280	0.410	0.700	0.700
ea0d2b0f-ea31-40ac-a10a-0f606f71b1e1	0.840	0.687	0.345	0.967	0.767
189ba0cf-2771-4cb0-9b0d-bb6c40dbbaf1	0.753	0.573	0.505	0.447	0.247
b85c60c8-89e3-44ac-af02-87832c0ec832	0.033	0.080	0.705	0.453	0.820
e39df49c-93d9-4189-90f0-68d2b25ff572	0.753	0.593	0.350	0.967	0.733
7289387d-410d-40b1-8a5f-edf3c45990e5	0.213	0.653	0.870	0.927	0.373
a4fd541c-d596-431c-8b3a-836e2ef452e2	0.767	0.107	0.325	0.973	0.760
702be6d1-4a72-4efa-bf5c-9f3de442621b	0.753	0.167	0.450	0.867	0.747
de55b49b-6ec9-4a62-af38-35a6a65197dc	0.020	0.227	0.565	0.760	0.493
dd3610cf-58ba-4703-86db-0cdf5bb7e629	0.360	0.387	0.610	0.827	0.540
9327d148-cd7d-4fcd-b844-0083225d5afa	0.867	0.373	0.310	0.893	0.527
f745e721-dd23-477e-b6a7-8970b76779d5	0.840	0.667	0.525	0.813	0.773
8a90bd0b-e17b-4faa-b498-97ad4d08a827	0.613	0.260	0.490	0.833	0.753
70ef4b39-e919-462a-97e6-c861f434a713	0.920	0.080	0.320	0.353	0.553
896e91e9-2ce5-4da6-b17d-b942f8c6ffb9	0.673	0.753	0.255	0.953	0.853
f74f26f8-c549-4e31-b44b-0aa4dd7f7ebf	1.000	0.660	0.215	0.940	0.573
053cc8b4-c36f-48ae-9ab5-0a9f5ecdbb55	0.960	0.627	0.150	0.720	0.473
d9e19061-d2e0-47b4-bb08-8fed30a2f81a	0.920	0.353	0.380	0.133	0.513
066a8a3d-2f81-4cae-8a2d-9a6e8915820c	0.967	0.793	0.155	0.673	0.713
b3b5e8dd-7e0f-4fed-9169-e4c65800dff2	0.940	0.520	0.420	0.947	0.653
7f9bcd29-32e4-4bcb-ae7d-8c86cc39fc58	1.000	0.833	0.320	0.960	0.707
717d73f0-e1e9-494f-a79d-4b6d507a837a	0.713	0.893	0.165	0.980	0.947
f76ade7c-183d-4e62-9cc3-45182e193ef7	0.940	0.533	0.210	0.587	0.840
a0488884-5fb3-4254-9509-bde3b89bff23	0.767	0.280	0.150	0.813	0.953
7e9f1785-03af-4611-8987-45ef0cacc8fa	0.173	0.560	0.350	0.473	0.733
c905c8b4-fa8e-4a94-8d7d-af37ede2b59f	0.867	0.307	0.345	0.840	0.660
1b77972d-43d0-48ac-b611-223d94b430e2	0.293	0.127	0.605	0.360	0.080
bc316c34-cfeb-41a7-8e8b-3c8f7e504089	0.827	0.687	0.115	0.327	0.180
6a8a46fd-201e-42bf-a88c-62c78c2436a4	0.807	0.680	0.590	0.947	0.907
0098ec66-ca79-4518-88df-313b8ed245c3	0.367	0.653	0.620	0.873	0.980
4ff0f1c8-8b08-4837-908f-ccaed154d81f	0.913	0.187	0.475	0.973	0.547
f9cf9fc2-a3da-42e5-9b94-4ec6639c1785	0.193	0.667	0.410	0.260	0.140
a03bcefc-7b61-44a5-81f2-aa6107aafdc3	0.073	0.067	0.675	0.100	0.313
a00b7df8-4ed3-4b01-9ef8-b6749d36a186	0.900	0.373	0.395	0.960	0.660
9bfd7153-83ea-4f56-bbb8-b75bfd0753f5	0.740	0.613	0.430	0.920	0.460
71fef50e-9ca0-4539-8edb-514116bb8a96	0.887	0.587	0.515	0.960	0.893
c5ec181f-6c89-4f2f-aeb7-8bd6937526fa	0.753	0.773	0.500	0.947	0.893
616bf275-5a5f-4628-89a8-40a26fa11100	0.920	0.273	0.540	0.893	0.660
e11a1972-73e1-4e8d-89d3-2a9b48d61d11	0.973	0.807	0.185	1.000	0.827
7d29b2cc-50b4-446f-9ab8-f70aa9797d5b	0.860	0.307	0.835	0.993	0.913
5064a83d-edd1-4136-9580-71a3ab93b18c	0.933	0.753	0.305	1.000	0.820
95ce3580-e609-458b-850d-836733a1e731	0.760	0.307	0.150	0.147	0.620
8ea0f590-93d0-456b-9f71-64954b2befd2	0.720	0.820	0.305	0.960	0.847
11149f10-d7d4-4c85-9232-fdc614af90ee	0.967	0.653	0.265	0.987	0.867
7cdf3e10-9fbb-45d0-aee6-83e7caeebf31	0.993	0.287	0.315	0.813	0.687
6c0fe982-0f5a-489b-9a5d-1eeaf59fbb01	1.000	0.187	0.215	0.613	0.533
c42e2e8c-9056-4c75-881a-93b701d2b24b	0.967	0.727	0.125	0.767	0.827
5e5a09ae-ab87-41ed-a3d9-8df22a9ff885	0.980	0.673	0.405	0.893	0.547
7e27195a-c521-4d38-a3bc-f1252da1720d	0.953	0.473	0.600	0.080	0.247
cb7ec490-6d2d-46bd-b10c-6be334e318da	0.980	0.913	0.330	0.880	0.867
8b1baa36-efa5-4973-831b-303803e5e750	0.900	0.600	0.295	0.953	0.600
83da45f1-f0e8-4b43-85e9-926dd5a6c4a1	0.713	0.367	0.100	1.000	0.933
c2ef53f8-7bc0-4b77-ad9e-2143371f4623	0.780	0.673	0.225	0.933	0.953
2880d692-764b-4cac-9f9e-2e200b7fbc16	0.880	0.660	0.290	0.807	0.940
65cbf5b7-4488-4056-8657-9f8992364848	0.980	0.567	0.210	0.787	0.573
299e5021-ecf1-4abd-a664-274c900fb0e7	0.940	0.413	0.395	0.947	0.440
2dd7fe64-d5e1-4398-a848-c9a07df896e0	0.033	0.220	0.705	0.060	0.760
39aa6f70-ed26-45a3-bd58-2fc608cb54ef	0.653	0.200	0.490	0.913	0.813
b10fd2eb-76a0-47ff-a21c-a600af760435	0.640	0.547	0.175	0.947	0.387
930e3c5f-32ed-42a8-88da-4985a1a06832	0.780	0.307	0.445	1.000	0.940
dbba096a-dbc4-43e0-a2af-26a9a457bfec	0.980	0.987	0.250	0.993	0.593
ae59aeb3-01ef-4965-8562-a4aca0f1c192	0.833	0.540	0.705	0.960	0.940
6f9e325c-87a1-4448-9f82-ea5ea1765b12	0.467	0.553	0.255	0.460	0.773
afcf6445-d12e-45a8-84a2-71d15a9ccbaf	0.873	0.793	0.235	0.980	0.740
1f199ef2-01cb-4226-9bee-1bdd38a7f8f9	0.393	0.867	0.355	0.653	0.813
da551121-036b-494b-a0a1-97ab606abb18	0.580	0.513	0.150	0.660	0.193
ef7bed65-24e3-4d92-87ab-3d9331287c03	1.000	0.513	0.190	0.567	0.687
db174efb-05c8-4285-bc84-dda0b54e21e8	0.760	0.720	0.280	0.953	0.680
1779459c-daed-40ff-9d1f-a0c8b99a885c	0.360	0.340	0.390	0.727	0.607
239d1fda-371c-468f-89e4-de894c58584f	0.940	0.153	0.445	0.973	0.687
56610f6e-415b-4821-bf69-772fa5316ce1	0.907	0.260	0.645	0.907	0.867
714fb142-58fa-46b0-8b8e-1b4218085981	0.747	0.893	0.065	0.960	0.440
588d087e-d242-4e5f-bff6-db582bf0aa45	0.407	0.320	0.330	0.980	0.647
c03d7265-47c4-44b2-a58a-7463eb1b7495	0.987	0.213	0.195	0.913	0.753
95f1b6a0-3d57-4e91-b707-6e8c97fd085d	0.820	0.227	0.275	0.967	0.773
47b96716-494c-480f-97c7-2d15064f6b44	0.927	0.300	0.115	0.327	0.640
627ea546-44de-4c06-bd83-a5ba1097ce1f	0.860	0.140	0.195	0.747	0.580
79df1aea-34d1-4e33-8506-bf924dd68cd8	0.987	0.540	0.420	0.853	0.873
5f55af2d-97e9-4629-a4e6-cc25358a7d81	0.993	0.600	0.620	0.953	0.840
83c0a5a8-b39c-42df-b593-8e26b6a5bf7c	0.933	0.527	0.280	0.893	0.667
0ecdfc7c-1b94-4106-84b3-a1e9abd94b8e	0.607	0.300	0.470	0.853	0.687
38c9bb0d-d9a5-4cf8-81b9-2a721e545362	0.913	0.553	0.070	0.340	0.313
bb88834f-2768-4a3d-901b-729a369754d6	0.880	0.160	0.470	0.967	0.613
45011fe5-190f-4285-972c-8547fc1909d0	0.960	0.433	0.260	0.780	0.267
